disease,window,burden_clause,t_alert,asymmetry_ratio,t_calm,gate,n_alert,n_calm,n_hold_watch,n_hold_monitor,n_hold_uncertainty
covid,October 26 - November 29,off,1.0,1.25,1.25,FAIL (counterfactual counts),14,0,8,4,25
covid,October 26 - November 29,off,1.0,1.5,1.5,FAIL (counterfactual counts),14,0,5,7,25
covid,October 26 - November 29,off,1.0,2.0,2.0,FAIL (counterfactual counts),14,0,3,9,25
covid,October 26 - November 29,off,1.0,3.0,3.0,FAIL (counterfactual counts),14,0,2,10,25
covid,October 26 - November 29,off,1.25,1.0,1.25,FAIL (counterfactual counts),10,0,8,8,25
covid,October 26 - November 29,off,1.25,1.25,1.5625,FAIL (counterfactual counts),10,0,5,11,25
covid,October 26 - November 29,off,1.25,1.5,1.875,FAIL (counterfactual counts),10,0,4,12,25
covid,October 26 - November 29,off,1.25,2.0,2.5,FAIL (counterfactual counts),10,0,3,13,25
covid,October 26 - November 29,off,1.25,3.0,3.75,FAIL (counterfactual counts),10,0,1,15,25
covid,October 26 - November 29,off,1.5,1.0,1.5,FAIL (counterfactual counts),9,0,5,12,25
covid,October 26 - November 29,off,1.5,1.25,1.875,FAIL (counterfactual counts),9,0,4,13,25
covid,October 26 - November 29,off,1.5,1.5,2.25,FAIL (counterfactual counts),9,0,3,14,25
covid,October 26 - November 29,off,1.5,2.0,3.0,FAIL (counterfactual counts),9,0,2,15,25
covid,October 26 - November 29,off,1.5,3.0,4.5,FAIL (counterfactual counts),9,0,0,17,25
covid,November 30 - December 27,off,0.25,1.0,0.25,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.25,1.25,0.3125,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.25,1.5,0.375,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.25,2.0,0.5,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.25,3.0,0.75,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.5,1.0,0.5,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.5,1.25,0.625,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.5,1.5,0.75,FAIL (counterfactual counts),17,0,14,0,20
covid,November 30 - December 27,off,0.5,2.0,1.0,FAIL (counterfactual counts),17,0,11,3,20
covid,November 30 - December 27,off,0.5,3.0,1.5,FAIL (counterfactual counts),17,0,7,7,20
covid,November 30 - December 27,off,0.75,1.0,0.75,FAIL (counterfactual counts),16,0,14,1,20
covid,November 30 - December 27,off,0.75,1.25,0.9375,FAIL (counterfactual counts),16,0,11,4,20
covid,November 30 - December 27,off,0.75,1.5,1.125,FAIL (counterfactual counts),16,0,9,6,20
covid,November 30 - December 27,off,0.75,2.0,1.5,FAIL (counterfactual counts),16,0,7,8,20
covid,November 30 - December 27,off,0.75,3.0,2.25,FAIL (counterfactual counts),16,0,4,11,20
