disease,state,window,epiweeks,burden_mean,burden_max,nweeks
covid,ms,November 30 - December 27,202549-202552,0.7949999999999999,0.97,4
covid,mt,November 30 - December 27,202549-202552,0.835,1.05,4
covid,nc,November 30 - December 27,202549-202552,0.4625,0.65,4
covid,nd,November 30 - December 27,202549-202552,0.7575000000000001,1.37,4
covid,ne,November 30 - December 27,202549-202552,0.6799999999999999,1.3,4
covid,nh,November 30 - December 27,202549-202552,0.895,1.22,4
covid,nj,November 30 - December 27,202549-202552,0.5900000000000001,0.8,4
covid,nm,November 30 - December 27,202549-202552,1.3925,1.94,4
covid,nv,November 30 - December 27,202549-202552,0.28250000000000003,0.31,4
covid,ny,November 30 - December 27,202549-202552,0.5325,0.69,4
covid,oh,November 30 - December 27,202549-202552,1.18,1.79,4
covid,ok,November 30 - December 27,202549-202552,0.74,1.18,4
covid,or,November 30 - December 27,202549-202552,0.20750000000000002,0.23,4
covid,pa,November 30 - December 27,202549-202552,0.8325,1.29,4
covid,ri,November 30 - December 27,202549-202552,0.7425,0.91,4
covid,sc,November 30 - December 27,202549-202552,0.4775,0.69,4
covid,sd,November 30 - December 27,202549-202552,0.7649999999999999,1.14,4
covid,tn,November 30 - December 27,202549-202552,0.8875,1.21,4
covid,tx,November 30 - December 27,202549-202552,0.39999999999999997,0.48,4
covid,ut,November 30 - December 27,202549-202552,0.3375,0.49,4
covid,va,November 30 - December 27,202549-202552,0.4925,0.74,4
covid,vt,November 30 - December 27,202549-202552,0.9025,1.17,4
covid,wa,November 30 - December 27,202549-202552,0.215,0.23,4
covid,wi,November 30 - December 27,202549-202552,0.8574999999999999,1.39,4
covid,wv,November 30 - December 27,202549-202552,1.5375,2.55,4
covid,wy,November 30 - December 27,202549-202552,0.74,1.01,4
covid,ak,December 28 - January 31,202601-202605,0.326,0.46,5
covid,al,December 28 - January 31,202601-202605,0.48599999999999993,0.57,5
covid,ar,December 28 - January 31,202601-202605,0.67,0.76,5
covid,az,December 28 - January 31,202601-202605,0.34400000000000003,0.42,5
covid,ca,December 28 - January 31,202601-202605,0.15600000000000003,0.16,5
covid,co,December 28 - January 31,202601-202605,0.7000000000000001,0.79,5
